# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP4874144,Tyler,-95.30589,32.31726,,TX,110327
PP3268400,Sparks,-119.71515,39.57434,,NV,110323
PP3714100,Concord,-80.63551,35.39209,,NC,110119
PP0669196,Santa Maria,-120.44356,34.93308,,CA,109987
PP0665042,San Buenaventura (Ventura),-119.25421,34.26778,,CA,109058
PP0407940,Buckeye,-112.64163,33.43157,,AZ,108909
PP0619766,Downey,-118.13086,33.93824,,CA,108816
PP4870808,Sugar Land,-95.63380,29.59276,,TX,108515
PP0616532,Costa Mesa,-117.91234,33.66591,,CA,108354
PP4816432,Conroe,-95.48460,30.32872,,TX,108248
PP5367167,Spokane Valley,-117.23278,47.66335,,WA,108235
PP1216475,Davie,-80.28301,26.07917,,FL,107799
PP4134100,Hillsboro,-122.93539,45.52680,,OR,107730
PP0637692,Jurupa Valley,-117.46761,34.00259,,CA,107321
PP0812815,Centennial,-104.86381,39.59086,,CO,106883
PP0807850,Boulder,-105.25125,40.02443,,CO,105898
PP2621000,Dearborn,-83.21149,42.31306,,MI,105811
PP4822660,Edinburg,-98.16284,26.32106,,TX,105799
PP1368516,Sandy Springs,-84.36889,33.93150,,GA,105793
PP5531000,Green Bay,-87.98657,44.52154,,WI,105744
PP0684200,West Covina,-117.90994,34.05594,,CA,105617
PP2509000,Brockton,-71.02464,42.08254,,MA,104890
PP4965330,St. George,-113.57653,37.07701,,UT,104578
PP4105800,Bend,-121.30799,44.05668,,OR,104557
PP5357745,Renton,-122.19461,47.47919,,WA,104491
PP2941348,Lee's Summit,-94.38476,38.92160,,MO,104184
PP1823278,Fishers,-85.96836,39.96183,,IN,104094
PP0622230,El Monte,-118.02914,34.07463,,CA,103794
PP1871000,South Bend,-86.26881,41.67664,,IN,103395
PP0660466,Rialto,-117.38921,34.11742,,CA,103391
PP0621712,El Cajon,-116.96047,32.80167,,CA,102991
PP0636546,Inglewood,-118.34427,33.95607,,CA,102865
PP0608954,Burbank,-118.32640,34.19008,,CA,102755
PP4879000,Wichita Falls,-98.52585,33.90665,,TX,102691
PP0681554,Vacaville,-121.96860,38.35862,,CA,102526
PP1810342,Carmel,-86.14837,39.96548,,IN,102296
PP1254200,Palm Coast,-81.24263,29.53684,,FL,102113
PP0523290,Fayetteville,-94.16656,36.07146,,AR,101680
PP2555745,Quincy,-71.00899,42.26101,,MA,101597
PP0668252,San Mateo,-122.31060,37.56031,,CA,101327
PP0613014,Chico,-121.81772,39.75895,,CA,101301
PP2537490,Lynn,-70.96204,42.47477,,MA,101241
PP3601000,Albany,-73.79835,42.66575,,NY,101228
PP0485540,Yuma,-114.52178,32.51629,,AZ,100858
PP2545000,New Bedford,-70.93791,41.66130,,MA,100695
PP5176432,Suffolk,-76.63478,36.69716,,VA,100659
PP0633434,Hesperia,-117.31520,34.39704,,CA,100633
PP1919000,Davenport,-90.60395,41.55682,,IA,100354
PP1207300,Boca Raton,-80.10371,26.37269,,FL,99974
PP0617918,Daly City,-122.46867,37.68619,,CA,99833
PP4864472,San Angelo,-100.45050,31.44108,,TX,99262
PP1217200,Deltona,-81.21098,28.90512,,FL,98739
PP0845970,Longmont,-105.10184,40.16985,,CO,98630
PP0682996,Vista,-117.23858,33.18968,,CA,98344
PP5539225,Kenosha,-87.88000,42.58753,,WI,98211
PP4023200,Edmond,-97.41308,35.67381,,OK,98103
PP0652526,Norwalk,-118.08345,33.90760,,CA,98078
PP0680238,Tracy,-121.45220,37.72740,,CA,98010
PP5323515,Federal Way,-122.33776,47.31160,,WA,97701
PP1224125,Fort Myers,-81.82955,26.62007,,FL,97372
PP5168000,Roanoke,-79.95817,37.27846,,VA,97171
PP4105350,Beaverton,-122.81690,45.47783,,OR,96945
PP1269700,Sunrise,-80.26163,26.17160,,FL,96808
PP5164000,Portsmouth,-76.35697,36.85934,,VA,96793
PP5380010,Yakima,-120.54940,46.59094,,WA,96750
PP1257425,Plantation,-80.26182,26.12557,,FL,96548
PP4829336,Georgetown,-97.69874,30.66814,,TX,96312
PP2038900,Lawrence,-95.26293,38.96003,,KS,96207
PP4957300,Orem,-111.69944,40.29807,,UT,95519
PP4548535,Mount Pleasant,-79.86504,32.80838,,SC,95232
PP3702140,Asheville,-82.55272,35.57097,,NC,95056
PP4263624,Reading,-75.92628,40.33922,,PA,94903
PP5305280,Bellingham,-122.47018,48.75344,,WA,94720
PP0668196,San Marcos,-117.16989,33.13257,,CA,94188
PP2954074,O'Fallon,-90.72074,38.78467,,MO,94074
PP2523000,Fall River,-71.09416,41.72535,,MA,93840
PP0646898,Merced,-120.47791,37.30571,,CA,93692
PP0404720,Avondale,-112.32893,33.31324,,AZ,93545
PP0613210,Chino,-117.65772,33.97804,,CA,93114
PP4872176,Temple,-97.39112,31.10345,,TX,93095
PP0636448,Indio,-116.23597,33.73164,,CA,93057
PP4224000,Erie,-80.07350,42.11659,,PA,92957
PP0659920,Redding,-122.36677,40.57028,,CA,92727
PP0955990,Norwalk,-73.41980,41.09274,,CT,92458
PP0135896,Hoover,-86.80890,33.37903,,AL,92448
PP0633182,Hemet,-116.99681,33.73407,,CA,92368
PP2649000,Livonia,-83.37232,42.39718,,MI,92185
PP4967440,Sandy,-111.84987,40.57171,,UT,91943
PP1367284,Roswell,-84.35095,34.03945,,GA,91706
PP5335940,Kirkland,-122.20417,47.69666,,WA,91194
PP0611530,Carson,-118.24957,33.84037,,CA,91139
PP0645484,Manteca,-121.22608,37.79284,,CA,91059
PP3350260,Nashua,-71.49054,42.74907,,NH,91003
PP0615044,Compton,-118.22747,33.89405,,CA,90986
