# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP01950,01950,-70.89110,42.81236
ZIP01951,01951,-70.85021,42.77335
ZIP01952,01952,-70.84150,42.84479
ZIP01960,01960,-70.96944,42.53431
ZIP01965,01965,-70.82472,42.56410
ZIP01966,01966,-70.62025,42.64070
ZIP01969,01969,-70.88664,42.72149
ZIP01970,01970,-70.86802,42.52925
ZIP01982,01982,-70.85723,42.62622
ZIP01983,01983,-70.94338,42.64139
ZIP01984,01984,-70.88326,42.60067
ZIP01985,01985,-70.96443,42.79957
ZIP02019,02019,-71.47449,42.07668
ZIP02021,02021,-71.12538,42.17574
ZIP02025,02025,-70.81433,42.23643
ZIP02026,02026,-71.17946,42.24687
ZIP02030,02030,-71.29117,42.23416
ZIP02032,02032,-71.21619,42.15688
ZIP02035,02035,-71.24580,42.06134
ZIP02038,02038,-71.41057,42.08486
ZIP02043,02043,-70.88127,42.21610
ZIP02045,02045,-70.87952,42.28587
ZIP02047,02047,-70.69505,42.14553
ZIP02048,02048,-71.21642,42.01730
ZIP02050,02050,-70.71033,42.11514
ZIP02052,02052,-71.30531,42.18460
ZIP02053,02053,-71.43035,42.15620
ZIP02054,02054,-71.36376,42.17310
ZIP02056,02056,-71.32927,42.11624
ZIP02061,02061,-70.81884,42.16457
ZIP02062,02062,-71.19248,42.18739
ZIP02066,02066,-70.75818,42.20227
ZIP02067,02067,-71.18183,42.10760
ZIP02071,02071,-71.26895,42.10643
ZIP02072,02072,-71.10365,42.11901
ZIP02081,02081,-71.25797,42.14740
ZIP02090,02090,-71.21677,42.21964
ZIP02093,02093,-71.35686,42.05267
ZIP02108,02108,-71.06574,42.35510
ZIP02109,02109,-71.05042,42.36692
ZIP02110,02110,-71.05193,42.35825
ZIP02111,02111,-71.06053,42.35068
ZIP02113,02113,-71.05522,42.36526
ZIP02114,02114,-71.06689,42.36365
ZIP02115,02115,-71.09453,42.33942
